year,period,periodName,latest,value,footnotes
2024,M11,November,True,4.2,[{}]
2024,M10,October,,4.1,[{}]
2024,M09,September,,4.1,[{}]
2024,M08,August,,4.2,[{}]
2024,M07,July,,4.3,[{}]
2024,M06,June,,4.1,[{}]
2024,M05,May,,4.0,[{}]
2024,M04,April,,3.9,[{}]
2024,M03,March,,3.8,[{}]
2024,M02,February,,3.9,[{}]
2024,M01,January,,3.7,[{}]
2023,M12,December,,3.7,[{}]
2023,M11,November,,3.7,[{}]
2023,M10,October,,3.8,[{}]
2023,M09,September,,3.8,[{}]
2023,M08,August,,3.8,[{}]
2023,M07,July,,3.5,[{}]
2023,M06,June,,3.6,[{}]
2023,M05,May,,3.7,[{}]
2023,M04,April,,3.4,[{}]
2023,M03,March,,3.5,[{}]
2023,M02,February,,3.6,[{}]
2023,M01,January,,3.4,[{}]
2024,M11,November,true,4.2,[{}]
